,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP	
81039,GEOMETRIC,EQ,124.0,129.5,124.0,128.45,129.0,123.85,479928,61291841.1,18-FEB-2015	
82941,GEOMETRIC,EQ,76.95,77.8,74.95,75.6,75.4,76.4,116930,8947998.7,18-JAN-2011	
84756,GEOMETRIC,EQ,59.6,60.85,58.35,60.0,60.05,58.95,117754,7052176.5,18-JAN-2012	
86657,GEOMETRIC,EQ,113.3,116.75,111.3,116.15,115.5,112.5,883694,101603846.7,18-JAN-2013	
88590,GEOMETRIC,EQ,52.4,52.4,51.3,52.2,52.3,51.75,25640,1335396.8,18-JUL-2011	
90444,GEOMETRIC,EQ,70.1,71.6,69.4,70.35,70.2,70.6,51295,3609772.05,18-JUL-2012	
92289,GEOMETRIC,EQ,104.6,106.8,104.0,105.3,106.0,105.45,37185,3916058.45,18-JUL-2013	
92936,GEOMETRIC,EQ,67.4,67.4,64.8,65.3,65.3,66.1,89175,5900350.15,02-SEP-2010	
94038,GEOMETRIC,EQ,144.95,152.9,143.5,147.75,147.55,145.45,1004356,150544643.05,18-JUL-2014	
95992,GEOMETRIC,EQ,68.6,69.3,66.25,66.8,67.3,68.2,46679,3156743.2,18-JUN-2012	
97601,GEOMETRIC,EQ,165.1,171.3,160.45,163.35,162.1,167.1,777097,128661616.0,27-MAR-2015	
97833,GEOMETRIC,EQ,102.05,105.0,102.05,103.55,104.0,103.05,38934,4043025.0,18-JUN-2013	
99632,GEOMETRIC,EQ,137.4,145.6,137.4,139.55,139.3,137.9,495986,70315253.85,18-JUN-2014	
101592,GEOMETRIC,EQ,107.5,115.0,107.5,112.9,113.75,107.5,687419,77488369.15,18-JUN-2015	
103483,GEOMETRIC,EQ,61.0,61.4,59.1,59.35,59.15,60.8,27128,1624077.0,18-MAR-2011	
105302,GEOMETRIC,EQ,102.05,104.0,101.5,101.95,101.7,102.9,37921,3884222.05,18-MAR-2013	
107214,GEOMETRIC,EQ,112.7,116.75,112.3,115.95,116.4,112.2,337239,38822797.0,18-MAR-2014	
109162,GEOMETRIC,EQ,178.35,179.35,170.15,170.75,170.4,177.55,535677,93024108.4,18-MAR-2015	
110767,GEOMETRIC,EQ,39.8,40.5,39.1,39.95,39.9,38.95,25736,1028818.0,02-SEP-2011	
111068,GEOMETRIC,EQ,59.3,59.3,58.05,58.3,58.2,58.45,20251,1185246.05,18-MAY-2011	
112902,GEOMETRIC,EQ,69.45,74.2,68.15,71.95,72.0,70.45,523830,37890723.25,18-MAY-2012	
114791,GEOMETRIC,EQ,138.4,140.3,135.0,137.4,137.6,137.55,343773,47318154.95,18-MAY-2015	
116685,GEOMETRIC,EQ,74.95,75.2,69.0,71.65,71.3,74.5,263351,18968593.65,18-NOV-2010	
116705,GEOMETRIC,EQ,57.5,58.6,57.5,58.2,58.25,58.1,19597,1144255.9,27-MAY-2011	
118486,GEOMETRIC,EQ,38.2,40.7,36.5,39.9,40.4,38.2,34058,1284620.55,18-NOV-2011	
120308,GEOMETRIC,EQ,85.0,86.0,84.0,84.7,84.7,84.3,117237,9972809.55,18-NOV-2013	
122148,GEOMETRIC,EQ,130.0,139.0,130.0,138.2,138.65,130.25,872525,118903033.65,18-NOV-2014	
124109,GEOMETRIC,EQ,66.25,66.9,64.3,64.95,65.0,65.6,60456,3940805.8,18-OCT-2010	
125908,GEOMETRIC,EQ,44.25,46.8,44.2,44.65,44.7,44.45,92441,4198204.1,18-OCT-2011	
126631,GEOMETRIC,EQ,141.2,144.0,139.5,140.2,140.5,142.6,291911,41292337.35,01-AUG-2014	
127774,GEOMETRIC,EQ,114.9,114.95,110.4,113.85,113.8,113.95,315219,35679123.35,18-OCT-2012	
128673,GEOMETRIC,EQ,75.4,79.5,75.4,78.65,78.5,75.4,150932,11765810.2,02-SEP-2013	
