HCLTECH	EQ	795.05	800.0	782.25	788.5	788.5	795.0	405148	3.20303872E8	01-APR-2013	15156	INE860A01027
INFY	EQ	2910.75	2953.55	2910.75	2944.2	2939.5	2889.35	927755	2.7258071E9	01-APR-2013	82593	INE009A01021
TCS	EQ	1565.0	1573.7	1551.25	1556.85	1552.1	1575.75	484406	7.5645997E8	01-APR-2013	19638	INE467B01029
WIPRO	EQ	437.3	441.75	428.1	431.0	431.1	437.15	875529	3.79583456E8	01-APR-2013	18537	INE075A01022
HCLTECH	EQ	951.0	951.5	926.55	930.7	930.0	937.55	1590949	1.49240589E9	01-AUG-2013	61454	INE860A01027
INFY	EQ	2988.0	2995.15	2956.75	2974.65	2969.0	2969.65	1086329	3.23440128E9	01-AUG-2013	56185	INE009A01021
TCS	EQ	1810.05	1834.8	1790.0	1815.4	1816.0	1815.5	1070589	1.94671142E9	01-AUG-2013	50550	INE467B01029
TECHM	EQ	1248.6	1260.8	1230.8	1251.6	1254.0	1246.3	706940	8.8133715E8	01-AUG-2013	22716	INE669C01028
WIPRO	EQ	438.0	443.8	427.5	436.4	434.0	438.0	1966728	8.6026483E8	01-AUG-2013	36372	INE075A01022
HCLTECH	EQ	689.95	696.9	682.15	687.95	688.0	688.0	719189	4.95733248E8	01-FEB-2013	27225	INE860A01027
INFY	EQ	2791.1	2801.9	2752.0	2770.95	2768.05	2789.5	987456	2.73921178E9	01-FEB-2013	42209	INE009A01021
TCS	EQ	1344.0	1352.0	1342.15	1348.1	1347.9	1344.15	742270	1.0006697E9	01-FEB-2013	22910	INE467B01029
TECHM	EQ	998.95	1015.0	993.0	1004.8	1005.0	998.95	403923	4.05700768E8	01-FEB-2013	16332	INE669C01028
WIPRO	EQ	410.0	413.45	407.05	407.6	407.15	411.55	1109376	4.54530784E8	01-FEB-2013	17844	INE075A01022
HCLTECH	EQ	624.9	627.9	619.85	622.15	622.7	618.7	305795	1.90659584E8	01-JAN-2013	6851	INE860A01027
INFY	EQ	2327.6	2329.9	2305.55	2308.85	2307.1	2318.7	369999	8.5766656E8	01-JAN-2013	14479	INE009A01021
WIPRO	EQ	396.05	399.0	391.15	396.9	396.5	394.5	796404	3.15005664E8	01-JAN-2013	10335	INE075A01022
HCLTECH	EQ	779.9	779.9	755.8	758.4	761.0	776.0	685642	5.24937984E8	01-JUL-2013	47385	INE860A01027
INFY	EQ	2469.0	2473.5	2441.1	2451.0	2443.0	2498.85	526135	1.29364902E9	01-JUL-2013	39596	INE009A01021
TCS	EQ	1512.0	1516.7	1483.4	1492.35	1489.0	1518.15	677326	1.01288557E9	01-JUL-2013	36062	INE467B01029
TECHM	EQ	1056.0	1069.4	1025.5	1034.45	1039.0	1059.8	627810	6.5502605E8	01-JUL-2013	33474	INE669C01028
WIPRO	EQ	349.0	352.0	345.5	351.25	351.0	349.0	834272	2.92376416E8	01-JUL-2013	15886	INE075A01022
HCLTECH	EQ	722.1	729.55	716.2	722.45	723.5	723.4	1046331	7.5577818E8	01-MAR-2013	28404	INE860A01027
INFY	EQ	2914.0	2961.4	2892.0	2913.8	2925.0	2907.0	1051829	3.07222861E9	01-MAR-2013	65565	INE009A01021
TCS	EQ	1515.1	1516.0	1498.0	1501.85	1498.1	1517.0	1268663	1.90619354E9	01-MAR-2013	70071	INE467B01029
TECHM	EQ	1052.0	1112.0	1052.0	1103.0	1109.0	1051.05	1251111	1.36994662E9	01-MAR-2013	64273	INE669C01028
WIPRO	EQ	420.0	425.5	418.4	421.7	422.6	416.4	1313859	5.5516384E8	01-MAR-2013	21505	INE075A01022
HCLTECH	EQ	1096.75	1119.9	1096.1	1103.1	1098.0	1095.35	1303114	1.44290381E9	01-NOV-2013	70440	INE860A01027
INFY	EQ	3300.0	3315.0	3269.4	3276.7	3272.0	3309.9	770838	2.53337677E9	01-NOV-2013	72466	INE009A01021
TCS	EQ	2110.0	2141.95	2091.1	2097.6	2096.0	2112.05	673240	1.41986598E9	01-NOV-2013	51527	INE467B01029
TECHM	EQ	1551.5	1562.1	1523.0	1525.85	1525.0	1551.05	634813	9.7369978E8	01-NOV-2013	41107	INE669C01028
WIPRO	EQ	477.25	484.8	477.25	482.55	483.5	477.7	1303432	6.2805498E8	01-NOV-2013	32168	INE075A01022
HCLTECH	EQ	1085.5	1090.0	1063.85	1071.1	1072.3	1087.2	512936	5.5092627E8	01-OCT-2013	30972	INE860A01027
INFY	EQ	3030.0	3038.3	3003.0	3015.0	3021.1	3013.0	663777	2.00323878E9	01-OCT-2013	54882	INE009A01021
TCS	EQ	1932.0	1954.85	1916.7	1949.05	1950.0	1927.8	795997	1.54726643E9	01-OCT-2013	54197	INE467B01029
TECHM	EQ	1340.0	1340.0	1316.0	1325.7	1327.0	1335.75	425753	5.6438867E8	01-OCT-2013	18584	INE669C01028
